class,frame,track_id,yolo_class,box,confidence
visages,2,,,"[263.1343078613281, -29.869884490966797, 602.350830078125, 410.72003173828125]",0.8856741786003113
visages,65,,,"[121.34638977050781, 52.7464714050293, 219.5481414794922, 170.79299926757812]",0.923754096031189
visages,68,,,"[175.0772247314453, 37.478878021240234, 275.5262451171875, 158.88638305664062]",0.9689539074897766
visages,69,,,"[183.81593322753906, 43.54294204711914, 280.75201416015625, 166.41001892089844]",0.9675918221473694
visages,70,,,"[189.25015258789062, 55.428497314453125, 288.4836730957031, 180.1339111328125]",0.9906366467475891
visages,71,,,"[192.79034423828125, 52.52574920654297, 294.5436096191406, 178.53775024414062]",0.986026406288147
visages,72,,,"[200.8856964111328, 44.93169403076172, 303.0750427246094, 171.89036560058594]",0.9991899132728577
visages,73,,,"[207.9860076904297, 45.13078308105469, 306.37176513671875, 173.63272094726562]",0.999895453453064
visages,74,,,"[211.98191833496094, 46.797332763671875, 310.96295166015625, 176.4563751220703]",0.9994121789932251
visages,75,,,"[218.05873107910156, 41.94230651855469, 318.2835693359375, 172.07652282714844]",0.9980025887489319
visages,76,,,"[221.61962890625, 47.330631256103516, 320.7589416503906, 176.49501037597656]",0.9996727705001831
visages,77,,,"[233.21572875976562, 56.69386291503906, 330.6083068847656, 182.6826171875]",0.9999507665634155
visages,78,,,"[240.3626708984375, 59.195674896240234, 338.35186767578125, 188.64718627929688]",0.9992114305496216
visages,79,,,"[240.22708129882812, 59.62334060668945, 337.894287109375, 188.4853515625]",0.9993010759353638
visages,80,,,"[244.360595703125, 60.9696044921875, 341.1606140136719, 188.6783905029297]",0.9991883635520935
visages,81,,,"[244.3980255126953, 58.79636001586914, 337.4375915527344, 183.0361785888672]",0.9988725781440735
visages,82,,,"[242.1786651611328, 54.42449951171875, 334.01556396484375, 178.74234008789062]",0.9990710020065308
visages,83,,,"[242.5631561279297, 54.71940231323242, 334.0105285644531, 178.43115234375]",0.9990148544311523
visages,84,,,"[240.25534057617188, 51.48872375488281, 334.4377746582031, 172.61370849609375]",0.9999227523803711
visages,85,,,"[240.87933349609375, 50.478904724121094, 331.7113952636719, 174.65597534179688]",0.9995064735412598
visages,86,,,"[240.3000030517578, 51.5413818359375, 328.5612487792969, 167.3334503173828]",0.9997017979621887
visages,87,,,"[241.57066345214844, 54.963741302490234, 329.11492919921875, 166.1588592529297]",0.999830961227417
visages,88,,,"[236.42030334472656, 54.67433166503906, 330.88568115234375, 172.96176147460938]",0.9998313188552856
visages,89,,,"[241.4788818359375, 57.03807830810547, 332.4666748046875, 175.6159210205078]",0.9997379183769226
visages,90,,,"[236.7944793701172, 52.16876220703125, 332.76214599609375, 182.0435333251953]",0.999990701675415
visages,91,,,"[235.3287353515625, 51.289039611816406, 332.9403991699219, 183.00242614746094]",0.9999747276306152
visages,92,,,"[230.5950469970703, 49.634742736816406, 327.3479919433594, 177.52320861816406]",0.9999518394470215
visages,93,,,"[233.04470825195312, 50.354942321777344, 325.7129211425781, 173.69131469726562]",0.9980517625808716
visages,94,,,"[232.2618408203125, 50.34347152709961, 326.05352783203125, 173.98057556152344]",0.99813312292099
visages,95,,,"[233.5551300048828, 47.342323303222656, 324.6120910644531, 165.20628356933594]",0.9996722936630249
visages,96,,,"[231.212158203125, 41.483673095703125, 323.2571716308594, 162.44326782226562]",0.9998443126678467
visages,97,,,"[231.0747833251953, 41.236995697021484, 323.30645751953125, 162.47264099121094]",0.9998371601104736
visages,98,,,"[227.86474609375, 42.773433685302734, 319.865234375, 164.34701538085938]",0.99933260679245
visages,99,,,"[230.9364471435547, 38.50900650024414, 323.3989562988281, 163.36105346679688]",0.9994884729385376
visages,100,,,"[230.97215270996094, 37.303184509277344, 323.2896423339844, 162.9091033935547]",0.9995430707931519
visages,101,,,"[230.2786407470703, 37.34292221069336, 321.7572021484375, 161.27197265625]",0.9996978044509888
visages,102,,,"[222.24697875976562, 36.41954040527344, 317.204345703125, 161.6792449951172]",0.9998573064804077
visages,103,,,"[220.20054626464844, 39.13288116455078, 314.19879150390625, 164.45140075683594]",0.9988346695899963
visages,104,,,"[216.98486328125, 38.23849105834961, 312.768798828125, 165.79835510253906]",0.9998770952224731
visages,105,,,"[213.30538940429688, 43.112770080566406, 306.57904052734375, 165.7410430908203]",0.9998844861984253
visages,106,,,"[207.30812072753906, 45.241634368896484, 298.4713134765625, 165.03231811523438]",0.9998905658721924
visages,107,,,"[200.93258666992188, 38.63714599609375, 297.2350158691406, 165.54571533203125]",0.9998421669006348
visages,108,,,"[199.56503295898438, 32.73338317871094, 297.3564758300781, 162.18312072753906]",0.9998990297317505
visages,109,,,"[194.89877319335938, 34.8714485168457, 288.4054870605469, 158.30702209472656]",0.9999767541885376
visages,110,,,"[192.0853729248047, 28.201759338378906, 288.6045837402344, 156.70700073242188]",0.9999635219573975
visages,111,,,"[192.8625030517578, 29.683090209960938, 288.08746337890625, 156.7171173095703]",0.9999613761901855
visages,112,,,"[196.7675018310547, 35.984657287597656, 289.77093505859375, 158.36578369140625]",0.9999487400054932
visages,113,,,"[200.8785858154297, 37.32149124145508, 294.6112060546875, 159.42311096191406]",0.9999455213546753
visages,114,,,"[203.65252685546875, 42.21055603027344, 297.34197998046875, 162.5153045654297]",0.9999710321426392
visages,115,,,"[206.6307830810547, 49.839290618896484, 297.0113830566406, 161.46832275390625]",0.9998886585235596
visages,116,,,"[206.7147674560547, 51.69544219970703, 300.0003356933594, 168.4727020263672]",0.999788224697113
visages,117,,,"[208.9281005859375, 57.947208404541016, 302.2327575683594, 168.95587158203125]",0.9996451139450073
visages,118,,,"[213.225341796875, 55.913246154785156, 306.5218200683594, 174.15826416015625]",0.9997333884239197
visages,119,,,"[216.43496704101562, 61.04490661621094, 308.7712707519531, 176.39759826660156]",0.9999822378158569
visages,120,,,"[217.1370391845703, 60.412498474121094, 308.9244384765625, 175.20071411132812]",0.9999796152114868
visages,121,,,"[218.14773559570312, 60.641788482666016, 309.263427734375, 173.57867431640625]",0.9999830722808838
visages,122,,,"[216.54283142089844, 52.882930755615234, 307.0486145019531, 162.3760223388672]",0.9999427795410156
visages,123,,,"[216.28871154785156, 42.65648651123047, 313.90167236328125, 158.91650390625]",0.9999432563781738
visages,124,,,"[215.92657470703125, 42.58536911010742, 313.7945556640625, 159.08993530273438]",0.9999352693557739
visages,125,,,"[224.85084533691406, 34.96977233886719, 322.5892639160156, 156.73138427734375]",0.9996612071990967
visages,126,,,"[224.48851013183594, 37.78620910644531, 320.6663818359375, 157.61976623535156]",0.9999402761459351
visages,127,,,"[231.27774047851562, 30.21622657775879, 321.9394836425781, 144.32203674316406]",0.9988380074501038
visages,128,,,"[226.77938842773438, 19.66895294189453, 326.269775390625, 143.44393920898438]",0.9996249675750732
visages,129,,,"[223.03237915039062, 14.122316360473633, 325.2019348144531, 143.87838745117188]",0.9998655319213867
visages,130,,,"[214.2360076904297, 4.030829429626465, 318.4359130859375, 138.5210418701172]",0.9999443292617798
visages,131,,,"[199.01461791992188, -8.134918212890625, 307.5309143066406, 134.24472045898438]",0.9992058873176575
visages,132,,,"[178.39784240722656, -33.610107421875, 301.3153076171875, 119.02334594726562]",0.9999035596847534
visages,133,,,"[148.47972106933594, -48.15532302856445, 274.362060546875, 96.90790557861328]",0.9774162173271179
visages,208,,,"[374.6502380371094, 42.066429138183594, 575.0348510742188, 286.1430969238281]",0.7278127074241638
visages,209,,,"[368.7997131347656, 37.26378631591797, 583.4271240234375, 286.1943359375]",0.9239124059677124
visages,210,,,"[371.58441162109375, 42.245201110839844, 579.3501586914062, 286.45794677734375]",0.9078366756439209
visages,211,,,"[367.94732666015625, 47.46229553222656, 556.9639892578125, 274.06207275390625]",0.9388847947120667
visages,223,,,"[374.07342529296875, 82.6975326538086, 571.8604736328125, 307.8526916503906]",0.9456259608268738
visages,224,,,"[363.624755859375, 87.77676391601562, 570.8275756835938, 320.6690368652344]",0.9741541743278503
visages,225,,,"[350.1870422363281, 90.0032958984375, 566.540283203125, 332.3258056640625]",0.97679203748703
